[459.713866281459, -21.262435845610817]
[13.518124150016519, 93.21049749597668]
[1.0768744122870828, -4.748665886508348]
[4.572642183947899, 10.955249509474882]
[-2.091566288718605, -5.074361285724464]
[-0.2672663451730557, -6.946746875166795]
[-3.021800688295478, 1.5153753391112303]
[-1.7318779342878265, 2.4794965495480623]
[-1.0601206228678723, -0.2548331177229448]
[-3.350302335895414, 1.059722077076282]
[-0.7037440318903823, 1.2674309983293672]
[-1.337636965586567, 0.14928193475122953]
[-0.4161048048218099, -0.41662854118309767]
[-0.44274148123636436, -0.7428741019634764]
[-1.0870719767817567, -0.23475463683488584]
[-0.10486699768791397, 0.1999846902361595]
[-0.6517923673096071, 0.005128181152032951]
[-0.7857798289433804, 0.4023531296066105]
[-0.34984591846926616, 0.3792972123068319]
[-0.6184602924407585, 0.12110123521682326]
[-0.06708393329639328, 0.01373979055376573]
[-0.32600708288190305, -0.2382412290258138]
[-0.3684051856655972, -0.1577572323927967]
[-0.01739751000088141, -0.05482598321432608]
[-0.357579969819259, -0.05372952034348888]
[-0.24983543843026013, 0.18145162535519743]
[-0.25170840496064817, 0.15313375572205956]
[-0.31885519901364123, 0.11895473270540702]
[-0.037336910797046485, 0.08988909849313487]
[-0.2465578675453255, -0.07644129477034767]
[-0.13527779116306915, -0.07319350509462197]
[-0.038352530469451196, -0.09188687606153323]
[-0.1979966253168466, -0.06706055977238634]
[-0.0848848652044012, 0.06963881716337217]
[-0.18996931268471595, 0.05127068754216535]
[-0.1659886115601874, 0.09669017617516984]
[-0.05151086495104895, 0.09025173215093196]
[-0.1815926249366111, -0.0019799837872911397]
[-0.05235082629328325, -0.0162709192197239]
[-0.06212637718619085, -0.07714816038685157]
[-0.10534352755505094, -0.055612383229991735]
[-0.0333000110157089, 0.00930822972664247]
[-0.13850791172434018, -0.0010272947248441966]
[-0.08233863243028727, 0.0660562605127637]
[-0.06503149469578651, 0.06760092846464749]
[-0.12630626714781545, 0.03238094545243886]
[-0.027212208629738832, 0.016402319867085957]
[-0.07362790268316077, -0.0486902392982147]
[-0.05238350141935033, -0.034582949241717564]
[-0.02332625380594422, -0.019807290648157228]
[-0.09434715117741765, -0.025077176045964933]
[-0.03833097033024746, 0.035610442405856535]
[-0.06907467942641654, 0.03979929429299367]
[-0.08104199721255756, 0.0431412106648405]
[-0.025031900325162226, 0.03029472260970023]
[-0.07258406228376302, -0.020385501622313562]
[-0.025226568522945136, -0.012875884331474907]
[-0.027551568186646946, -0.028672092989907583]
[-0.058616786725764314, -0.031080192662529704]
[-0.018725222566170707, 0.010570296283552327]
[-0.06376337723644143, 0.01504515496777481]
[-0.04684186438944249, 0.03952725525573764]
[-0.029900546131279793, 0.03093075310751836]
[-0.06244391464473775, 0.0016554299737419065]
[-0.014732702013240395, 0.004439948672480654]
[-0.03378702022294999, -0.02513565381016747]
[-0.032490368991579976, -0.026084649853702402]
[-0.013632082595706141, -0.006460303912201759]
[-0.05208873129070479, -0.002800364378532816]
[-0.023925256446615695, 0.028288351384596955]
[-0.03418050445763199, 0.023608224249201004]
[-0.04755859668439255, 0.015163355799545641]
[-0.013943113118005446, 0.015052234976066114]
[-0.036779431338169744, -0.015431738639738679]
[-0.016055588254352493, -0.015722487352002545]
[-0.015887114206527775, -0.015016276571216292]
[-0.03775583955440465, -0.012606403520632803]
[-0.011276414452342731, 0.014681132290033538]
[-0.03474679563536087, 0.013018451520792562]
[-0.03197590400017403, 0.02030420120376769]
[-0.01745130174653431, 0.01875715163437547]
[-0.03508502900772581, -0.004379836740692422]
[-0.00814819936265243, -0.004412112138169277]
[-0.02033435985866161, -0.016270568205655422]
[-0.024093085758200572, -0.015142478223639344]
[-0.006788653482757034, 0.002518378889141859]
[-0.031201993668623862, 0.002834264681839338]
[-0.018763852438841377, 0.01880905744029271]
[-0.02136412649346575, 0.0168445023099954]
[-0.029444216628179642, 0.004717571966794232]
[-0.006638090177349287, 0.0047816136980773916]
[-0.023646371978349956, -0.012431771524406887]
[-0.013445397357151556, -0.012371411730089932]
[-0.00770699069317371, -0.00591657798721501]
[-0.024716393285167282, -0.004573198793108357]
[-0.009680255904690682, 0.013211951772147568]
[-0.02333465945833957, 0.011440528915142967]
[-0.02167081536423021, 0.01011716593045009]
[-0.008930744986807904, 0.010232358915819473]
[-0.024185057366490348, -0.006094855879028582]
[-0.006925621471395749, -0.006761558092891473]
[-0.011182921488215092, -0.009822430486767786]
